2025-07-06T01:33:17.805+02:00  INFO 46247 --- [JavaFX Application Thread] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-06T01:33:17.813+02:00  INFO 46247 --- [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-06T01:33:18.020+02:00  INFO 46247 --- [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2025-07-06T01:34:29.170+02:00  INFO 46608 --- [JavaFX-Launcher] o.s.boot.SpringApplication               : Starting application using Java 24 with PID 46608 (started by tedidobi in /Users/tedidobi/Desktop/tourplanner)
2025-07-06T01:34:29.172+02:00  INFO 46608 --- [JavaFX-Launcher] o.s.boot.SpringApplication               : No active profile set, falling back to 1 default profile: "default"
2025-07-06T01:34:29.319+02:00  INFO 46608 --- [JavaFX-Launcher] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-06T01:34:29.342+02:00  INFO 46608 --- [JavaFX-Launcher] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 20 ms. Found 2 JPA repository interfaces.
2025-07-06T01:34:29.459+02:00  INFO 46608 --- [JavaFX-Launcher] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-06T01:34:29.476+02:00  INFO 46608 --- [JavaFX-Launcher] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-07-06T01:34:29.488+02:00  INFO 46608 --- [JavaFX-Launcher] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-07-06T01:34:29.594+02:00  INFO 46608 --- [JavaFX-Launcher] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-06T01:34:29.603+02:00  INFO 46608 --- [JavaFX-Launcher] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-07-06T01:34:29.685+02:00  INFO 46608 --- [JavaFX-Launcher] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./tourplanner-data/tourplanner user=
2025-07-06T01:34:29.686+02:00  INFO 46608 --- [JavaFX-Launcher] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-07-06T01:34:29.695+02:00  WARN 46608 --- [JavaFX-Launcher] org.hibernate.orm.deprecation            : HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-07-06T01:34:30.099+02:00  INFO 46608 --- [JavaFX-Launcher] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-06T01:34:30.122+02:00  INFO 46608 --- [JavaFX-Launcher] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-06T01:34:30.322+02:00  INFO 46608 --- [JavaFX-Launcher] o.s.d.j.r.query.QueryEnhancerFactory     : Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-06T01:34:30.665+02:00  INFO 46608 --- [JavaFX-Launcher] o.s.boot.SpringApplication               : Started application in 1.679 seconds (process running for 9.492)
2025-07-06T01:34:55.463+02:00  INFO 46608 --- [JavaFX Application Thread] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-06T01:34:55.465+02:00  INFO 46608 --- [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2025-07-06T01:34:55.476+02:00  INFO 46608 --- [JavaFX Application Thread] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2025-07-06T01:35:11.540+02:00  INFO 46721 --- [JavaFX-Launcher] o.s.boot.SpringApplication               : Starting application using Java 21.0.1 with PID 46721 (started by tedidobi in /Users/tedidobi/Desktop/tourplanner)
2025-07-06T01:35:11.541+02:00  INFO 46721 --- [JavaFX-Launcher] o.s.boot.SpringApplication               : No active profile set, falling back to 1 default profile: "default"
2025-07-06T01:35:11.755+02:00  INFO 46721 --- [JavaFX-Launcher] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-06T01:35:11.827+02:00  INFO 46721 --- [JavaFX-Launcher] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 69 ms. Found 2 JPA repository interfaces.
2025-07-06T01:35:12.029+02:00  INFO 46721 --- [JavaFX-Launcher] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-06T01:35:12.043+02:00  INFO 46721 --- [JavaFX-Launcher] org.hibernate.Version                    : HHH000412: Hibernate ORM core version [WORKING]
